NEW_KEY_CODE,Lake_Name,LATITUDE,LONGITUDE,EDU,DR_COD2,LP,AVGD_M,MAXD_M,TP,ALK,SEC,CHLRD,CHLA,COLOR,NITRATE,TN,LK_AREA_HA,LCL_AREA_HA,NET_AREA_HA,UPDIST_NET,UPDIST_LCL,URB_A,AGR_A,FOC_A,FOD_A,FOR_A,WAT_A,WEF_A,WEE_A,WET_A,URB_B,AGR_B,FOC_B,FOD_B,FOR_B,WAT_B,WEF_B,WEE_B,WET_B,URB_C,AGR_C,FOC_C,FOD_C,FOR_C,WAT_C,WEF_C,WEE_C,WET_C,URB_D,AGR_D,FOC_D,FOD_D,FOR_D,WAT_D,WEF_D,WEE_D,WET_D,URB_E,AGR_E,FOC_E,FOD_E,FOR_E,WAT_E,WEF_E,WEE_E,WET_E,URB_F,AGR_F,FOC_F,FOD_F,FOR_F,WAT_F,WEF_F,WEE_F,WET_F,URB_G,AGR_G,FOC_G,FOD_G,FOR_G,WAT_G,WEF_G,WEE_G,WET_G,URB_H,AGR_H,FOC_H,FOD_H,FOR_H,WAT_H,WEF_H,WEE_H,WET_H
22_65,Carney Lake,45.89667,-87.93334,8,ISOL,H,4,10.668,10,130,3.048,1.8,4.8,7,40,423,45.992,88.709,,,0.000,9.770,0.000,0.000,83.937,83.937,3.744,0.139,2.410,2.549,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.472,0.000,1.551,90.251,91.801,1.590,0.060,1.044,1.104,5.362,0.000,1.520,90.446,91.966,1.590,0.059,1.023,1.082,5.362,0.000,1.520,90.446,91.966,1.590,0.059,1.023,1.082,5.362,0.000,1.520,90.446,91.966,1.590,0.059,1.023,1.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22_95,Antoine Lake,45.83806,-88.03195,8,ISOL,H,3.6,7.62,11,135,4.572,22,3.9,5,2,483,300.261,717.701,,,0.000,40.186,0.547,4.260,22.947,27.207,1.299,2.082,6.463,8.546,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.033,4.432,1.014,45.045,46.060,0.169,4.220,2.061,6.281,14.580,5.332,0.825,56.345,57.170,0.169,3.034,1.179,4.214,12.724,6.340,0.712,60.398,61.109,0.146,2.618,1.018,3.636,12.724,6.343,0.712,60.396,61.108,0.146,2.618,1.018,3.636,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26_20,Pratt Lake,44.02445,-84.54917,4,ISOL,H,3,8.5344,8,98,3.048,11.8,1.2,8,7,691,76.100,147.063,,,0.000,70.362,0.941,7.475,9.758,17.233,3.120,6.877,0.000,6.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.087,1.134,6.025,36.558,42.583,0.973,8.316,0.000,8.316,33.350,1.020,5.506,38.742,44.248,0.973,7.872,0.000,7.872,33.350,1.020,5.506,38.742,44.248,0.973,7.872,0.000,7.872,33.350,1.020,5.506,38.742,44.248,0.973,7.872,0.000,7.872,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27_117,Dinner Lake,46.20167,-89.13417,6,ISOL,S,3.8,12.192,16,17,3.6576,0.3,2.9,6,10,449,43.542,113.457,,,0.000,5.698,0.000,15.729,69.740,85.469,6.895,0.004,1.934,1.938,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.169,0.000,9.299,77.695,86.994,3.501,5.843,0.880,6.722,2.008,0.000,9.003,78.956,87.959,3.501,5.409,0.814,6.223,2.008,0.000,9.003,78.956,87.959,3.501,5.409,0.814,6.223,2.008,0.000,9.003,78.956,87.959,3.501,5.409,0.814,6.223,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27_30,Imp Lake,46.2175,-89.07778,6,ISOL,S,9.6,26.2128,6,1,5.9436,0.4,1.9,3,15,289,36.570,165.722,,,0.000,34.409,0.000,1.136,59.897,61.033,4.558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.426,0.000,11.121,68.186,79.307,1.263,6.248,0.000,6.248,7.773,0.000,10.458,75.372,85.829,1.263,5.134,0.000,5.134,7.681,0.000,10.334,75.663,85.997,1.249,5.074,0.000,5.074,7.681,0.000,10.334,75.663,85.997,1.249,5.074,0.000,5.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27_854,Ormes Lake,46.27084,-89.64973,6,ISOL,S,4.6,19.812,12,1,4.2672,0.3,4.9,9,46,325,20.919,58.366,,,0.000,0.000,0.000,7.085,88.437,95.522,4.380,0.097,0.000,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.760,87.832,94.592,1.927,2.395,0.000,2.395,0.000,0.000,6.760,87.832,94.592,1.927,2.395,0.000,2.395,0.000,0.000,6.760,87.832,94.592,1.927,2.395,0.000,2.395,0.000,0.000,6.760,87.832,94.592,1.927,2.395,0.000,2.395,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28_102,Silver Lake,44.70528,-85.68667,5,ISOL,S,6.7,29.2608,12,89,6.4008,6.4,1.4,6,40,392,246.052,2032.760,,,0.000,61.840,11.990,0.877,10.800,11.677,2.394,1.278,0.000,1.278,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.101,36.325,2.440,4.951,7.391,0.338,1.653,1.509,3.162,25.553,48.171,2.131,4.794,6.925,0.338,1.785,0.925,2.710,21.574,55.599,1.676,5.612,7.288,0.263,1.393,0.720,2.113,16.121,61.608,1.426,7.843,9.269,0.166,1.259,0.454,1.712,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28_137,Bass Lake,44.60639,-85.80695,5,ISOL,S,1.9,5.7912,12,21,2.5908,0.6,5.7,4,10,652,37.426,88.959,,,0.000,43.588,0.000,0.000,44.885,44.885,1.892,8.733,0.000,8.733,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.581,0.000,1.962,74.852,76.814,0.593,5.912,0.000,5.912,14.504,0.000,1.952,74.985,76.937,0.593,5.881,0.000,5.881,14.504,0.000,1.952,74.985,76.937,0.593,5.881,0.000,5.881,14.504,0.000,1.952,74.985,76.937,0.593,5.881,0.000,5.881,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_128,Big Lake,42.56,-85.68889,3,ISOL,S,3.9,9.144,21,77,3.048,1.9,4.2,7,3,648,61.341,331.636,,,0.000,16.182,9.746,0.000,63.757,63.757,2.592,5.025,0.000,5.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.544,45.943,0.000,40.238,40.238,1.027,3.424,0.000,3.424,3.659,53.051,0.000,31.336,31.336,1.027,4.536,0.000,4.536,3.641,53.283,0.000,31.181,31.181,1.021,4.514,0.000,4.514,3.641,53.283,0.000,31.181,31.181,1.021,4.514,0.000,4.514,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_223,Selkirk Lake,42.61445,-85.62362,3,ISOL,S,3.6,11.8872,21,44,1.8288,3,23,8,10,731,37.236,479.019,,,0.000,52.235,12.288,0.000,31.037,31.037,4.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.171,47.435,0.000,26.020,26.020,1.075,1.701,0.669,2.370,13.553,61.505,0.000,20.343,20.343,1.075,1.754,1.015,2.768,12.249,64.933,0.000,17.095,17.095,0.829,3.290,0.783,4.073,10.530,66.721,0.000,17.241,17.241,0.713,3.418,0.673,4.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_308,Green Lake,42.75445,-85.59473,3,ISOL,H,9.2,21.0312,14,158,3.048,6.5,3.3,4,130,538,120.710,791.674,,,0.000,53.269,5.036,0.000,36.458,36.458,2.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.392,41.463,0.000,35.990,35.990,0.318,0.273,0.000,0.273,10.650,57.163,0.000,26.593,26.593,0.318,0.823,0.000,0.823,9.332,61.014,0.000,22.662,22.662,0.261,0.675,0.000,0.675,6.683,62.733,0.000,23.947,23.947,0.180,0.465,0.000,0.465,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_71,Osterhout Lake,42.43945,-86.03889,3,ISOL,H,1.7,9.144,20,105,2.5908,4.2,4.2,7,11,665,69.551,271.264,,,0.000,61.141,0.000,0.000,29.177,29.177,4.726,2.639,0.000,2.639,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.462,10.599,3.538,43.632,47.169,3.530,9.504,0.000,9.504,17.694,14.349,2.336,52.330,54.666,3.530,7.083,0.000,7.083,15.648,14.836,2.066,55.568,57.634,3.122,6.264,0.000,6.264,15.507,14.703,2.047,55.968,58.015,3.094,6.207,0.000,6.207,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35_105,West Londo Lake,44.35667,-83.87667,4,ISOL,S,2.1,4.8768,11,89,2.8956,17.1,3.7,7,5,938,79.738,117.747,,,0.000,81.869,0.000,0.000,3.788,3.788,5.598,0.000,1.126,1.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.481,0.000,0.000,38.317,38.317,1.833,7.405,0.445,7.850,33.506,0.000,0.000,40.449,40.449,1.833,10.305,0.369,10.674,33.506,0.000,0.000,40.449,40.449,1.833,10.305,0.369,10.674,33.506,0.000,0.000,40.449,40.449,1.833,10.305,0.369,10.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36_138,Indian Lake,46.04237,-88.49639,8,ISOL,S,4.6,10.9728,15,21,3.3528,0.7,4.6,3,11,490,79.617,254.381,,,0.000,24.529,0.000,2.866,41.316,44.183,1.452,5.120,0.000,5.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.160,0.000,1.276,70.305,71.581,0.297,1.586,0.000,1.586,11.519,0.000,0.950,76.137,77.086,0.297,1.180,0.000,1.180,10.173,0.000,0.839,78.388,79.227,0.262,1.042,0.000,1.042,10.173,0.000,0.839,78.388,79.227,0.262,1.042,0.000,1.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36_1488,Norway Lake,46.41389,-88.68612,8,ISOL,S,2.6,6.096,8,2,5.9944,0.2,2.3,4,49,223,20.999,22.911,,,0.000,0.000,0.000,25.314,47.343,72.656,1.405,25.939,0.000,25.939,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.041,52.312,74.352,1.075,24.572,0.000,24.572,0.000,0.000,22.041,52.312,74.352,1.075,24.572,0.000,24.572,0.000,0.000,22.041,52.312,74.352,1.075,24.572,0.000,24.572,0.000,0.000,22.041,52.312,74.352,1.075,24.572,0.000,24.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36_1501,Kidney Lake,46.39056,-88.72223,6,ISOL,H,3.1,7.62,15,37,2.286,0.5,3.4,9,55,737,66.971,134.675,,,0.000,5.227,0.000,13.906,65.456,79.363,1.994,10.271,0.000,10.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.355,0.000,10.424,77.068,87.492,2.354,6.293,0.000,6.293,2.282,0.000,10.102,77.777,87.878,2.354,6.098,0.000,6.098,2.282,0.000,10.102,77.777,87.878,2.354,6.098,0.000,6.098,2.282,0.000,10.102,77.777,87.878,2.354,6.098,0.000,6.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36_1536,Hannah Webb Lake,46.35389,-88.72139,6,ISOL,S,4,10.668,7,2,3.81,0.6,19,11,38,316,26.047,86.952,,,0.000,0.000,0.000,7.092,62.033,69.125,1.542,24.869,0.000,24.869,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.307,74.266,83.574,0.420,14.145,0.000,14.145,0.000,0.000,9.284,74.332,83.616,0.420,14.109,0.000,14.109,0.000,0.000,9.284,74.332,83.616,0.420,14.109,0.000,14.109,0.000,0.000,9.284,74.332,83.616,0.420,14.109,0.000,14.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36_173,Stanley Lake,46.05834,-88.74917,8,ISOL,H,3.3,11.8872,22,91,3.048,1.2,2.3,5,10,460,128.677,445.466,,,0.000,23.933,0.000,11.565,32.391,43.955,4.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.068,0.834,8.725,64.236,72.961,0.769,0.000,0.000,0.000,4.678,0.552,5.774,74.133,79.907,0.769,0.000,1.308,1.308,3.822,0.585,5.217,73.486,78.703,0.628,0.000,1.791,1.791,3.638,0.557,5.357,73.118,78.475,0.598,0.838,1.704,2.542,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36_331,Long Lake,46.12084,-88.45084,8,ISOL,S,9.6,32.004,1,15,6.096,0.3,1.8,3,10,244,24.207,20.711,,,0.000,23.822,0.000,0.000,75.356,75.356,0.821,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.015,0.000,0.000,76.199,76.199,0.786,0.000,0.000,0.000,23.015,0.000,0.000,76.199,76.199,0.786,0.000,0.000,0.000,23.015,0.000,0.000,76.199,76.199,0.786,0.000,0.000,0.000,23.015,0.000,0.000,76.199,76.199,0.786,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36_34,Mary Lake,46.05834,-88.22834,8,ISOL,H,6.3,14.6304,11,54,3.9116,1.1,4.5,4,13,428,106.354,554.246,,,0.000,66.543,0.000,8.338,15.204,23.543,8.606,0.798,0.510,1.308,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.602,0.000,41.603,21.422,63.025,1.645,0.250,3.429,3.679,18.687,0.000,55.316,19.788,75.104,1.645,0.153,4.411,4.564,14.062,0.000,60.210,20.395,80.605,1.237,0.124,3.972,4.096,13.201,0.000,60.932,20.861,81.793,1.162,0.116,3.728,3.845,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
