SITE,TURTLE,STREAM WIDTH (M),AVG FLOW (M/S),DISTANCE (M),CANOPY,ASSESSMENT,Artemisia sp.,Rumex sp.,Symphyotrichium puniceum,Ranunculus sp. ,Juncaceae,Oxalis sp.,Rosa multiflora,Stellaria media,Impatiens capensis,Galium palustre,Poaceae,Symphyotrichium ericoides,Solidago sp.,Eupatorium perfoliatum,Euthamia graminifolia,Menthus sp.,Polygonum sp.,Salix sp.,Fragaria virginiana,Alnus sp.,Angelica atropurpurea,Pastinaca sativa,Bryophyta,Taraxacum officinale,Alliaria petiolata,Symphyotrichum novae-angliae,Myosotis sp.,Veronica sp.,Snails,Slugs,Other organisms
AC,1,5.4,0.3795,3.9,0.8856,135,0,0,1,3,0,0,2,0,0,0,2,0,1,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
AC,1,2.9,0,3.9,0.9688,112,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,1,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0
AC,1,5.9,0,0.9,0.8284,114,0,0,1,0,2,1,0,0,1,0,1,0,2,1,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,2,1
KC,1,10.9,0,2.6,0.4973,75,0,0,0,0,1,0,0,0,1,2,1,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,8,5,1
KC,1,7.4,0.4499,4.6,0.9029,150,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,14,13,5
KC,1,7.7,0.3631,2.5,0.4245,134,0,0,2,1,1,3,0,1,2,2,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,9,1
KC,1,4.5,0.1983,4,0.7123,153,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,48,13,0
CB,1,5,0.534,6.5,0.5008,149,0,0,0,3,0,1,0,0,1,0,2,1,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2
CB,1,4.05,0.534,8.1,0.1056,149,0,0,0,0,2,0,0,1,3,1,1,0,3,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CB,1,3.7,0.3244,5.6,0.48,154,0,0,0,0,1,0,0,0,1,0,3,0,3,1,1,0,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0
CB,1,3.7,0.3244,3.7,0.3552,154,0,1,0,0,1,1,0,0,0,0,1,0,2,1,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1
