Sex,Age,Length,Mass
B,4,46,1500
B,6,46,1540
R,5,46,1400
R,5,46,1440
R,6,46,1200
R,5,46,1460
R,5,46,1520
R,6,46,1540
R,5,46.5,1560
R,6,46.5,1660
R,4,46.5,1440
R,5,46.5,1520
R,5,46.5,1660
R,5,46.5,1680
R,6,47,1640
R,5,47,1780
R,5,47,1760
R,5,47,1340
R,5,47,1720
R,4,47,1074
R,6,47,1520
R,6,47,1700
R,4,47,1580
R,5,47,1660
R,4,47,1380
R,4,47,1640
R,4,47,1880
R,4,47,1360
R,5,47.5,1500
R,5,47.5,1720
R,5,47.5,1400
R,5,47.5,1700
R,5,47.5,1760
R,4,47.5,1560
R,5,48,1760
R,6,48,2040
R,5,48,1620
R,6,48,1680
R,6,48,1520
R,5,48,1820
R,4,48,1740
R,5,48,1760
R,5,48,1740
R,4,48,1820
R,5,48,1680
R,5,48,1760
R,5,48,1600
R,4,48,1480
R,5,48,1820
R,6,48.5,1800
R,5,48.5,1680
R,5,48.5,1820
R,5,49,2240
R,6,49,1800
R,5,49,1840
R,5,49,1880
R,6,49,2120
R,5,49,1940
R,6,49,1940
R,6,49.5,1940
R,5,49.5,1780
R,5,50,1580
R,5,50,1740
R,5,50.5,2080
R,5,51,2020
B,3,30.7,480
B,3,33,520
B,3,34,520
B,4,34,480
B,4,35,590
B,3,35,640
B,4,35,720
B,4,35.5,600
B,3,35.5,640
B,4,36,720
B,4,36,640
R,4,36,980
B,3,36,700
B,3,36,820
B,3,36,700
B,3,36,720
B,4,36,600
B,3,36,640
B,3,36,580
B,3,36,660
B,4,36.5,740
B,4,36.5,771
B,3,36.5,750
B,3,36.5,780
B,3,36.5,680
B,3,36.5,740
B,5,36.5,660
B,3,36.6,740
B,3,37,800
B,3,37,940
B,4,37,720
B,3,37,940
B,3,37,700
B,3,37,780
B,3,37,780
B,4,37,980
R,4,37,900
B,5,37,680
B,4,37.3,520
B,4,37.5,600
B,4,37.5,920
B,3,37.5,1020
B,4,37.5,660
B,4,37.5,1380
B,3,37.5,NA
B,3,37.5,540
B,3,37.5,720
B,4,37.5,680
B,3,37.5,740
B,4,37.7,640
B,4,37.8,720
B,4,38,NA
B,4,38,NA
B,3,38,780
B,4,38,940
B,3,38,NA
B,4,38,NA
B,4,38,1110
B,3,38,820
B,3,38,820
B,3,38,820
B,4,38,910
B,4,38,840
B,3,38,720
B,3,38,720
B,4,38,720
B,3,38,720
B,4,38,760
B,4,38,760
B,4,38,900
B,3,38,550
B,4,38,740
B,4,38,800
B,3,38,840
B,4,38,580
B,4,38,680
B,4,38,740
B,3,38,760
B,4,38,660
B,4,38.1,720
B,3,38.3,680
B,5,38.5,NA
B,3,38.5,800
B,5,38.5,860
B,5,38.5,920
B,5,38.5,980
B,3,38.5,820
B,3,38.5,980
B,3,38.5,660
B,3,38.5,880
B,3,38.5,840
B,3,38.5,760
B,4,38.5,800
B,3,38.5,860
B,3,38.5,860
B,4,38.5,860
R,4,38.5,700
B,4,38.5,900
B,4,38.5,1680
B,6,38.5,820
B,3,38.6,780
B,4,38.8,740
B,3,38.8,820
B,5,38.9,840
B,5,39,NA
B,4,39,NA
B,5,39,NA
B,5,39,1040
B,4,39,860
B,5,39,930
B,5,39,1000
B,3,39,1140
B,4,39,740
B,4,39,840
B,3,39,900
B,4,39,800
B,5,39,680
B,5,39,760
B,5,39,800
B,5,39,800
B,4,39,700
B,5,39,840
B,4,39,860
B,3,39,820
B,3,39,820
B,5,39,NA
B,4,39,840
B,3,39,700
B,3,39.1,1300
B,4,39.3,800
B,3,39.4,840
B,3,39.4,840
B,5,39.5,NA
B,4,39.5,NA
B,5,39.5,NA
B,4,39.5,1120
B,3,39.5,950
B,3,39.5,860
B,3,39.5,860
B,3,39.5,780
B,4,39.5,880
B,4,39.5,880
B,4,39.5,760
B,4,39.5,820
B,5,39.5,900
B,4,39.5,840
B,4,39.5,900
B,5,39.5,900
B,4,39.5,840
B,3,39.5,900
B,4,39.5,900
R,4,39.5,800
B,4,39.5,820
B,4,39.5,880
B,4,39.5,860
B,4,39.6,840
R,5,39.6,940
B,4,40,NA
B,5,40,NA
B,4,40,900
B,5,40,680
B,5,40,NA
B,3,40,860
B,3,40,920
B,4,40,840
B,3,40,980
B,3,40,820
B,3,40,860
B,4,40,NA
B,4,40,1100
B,4,40,1100
R,4,40,1130
B,4,40,1220
B,4,40,900
B,4,40,920
B,4,40,920
B,4,40,800
B,4,40,840
B,4,40,900
B,4,40,920
B,4,40,760
B,5,40,760
B,4,40,740
B,3,40.2,880
B,3,40.4,940
B,4,40.5,NA
B,5,40.5,NA
B,4,40.5,1020
B,4,40.5,1040
B,4,40.5,980
B,3,40.5,940
B,5,40.5,960
B,5,40.5,1100
B,4,40.5,1000
B,3,40.5,1020
B,3,40.5,1560
B,4,40.5,940
B,5,40.5,1000
B,3,40.5,840
B,4,40.5,860
B,4,40.5,880
B,3,40.5,860
B,4,40.5,880
B,4,40.5,900
B,3,40.5,760
B,3,40.5,780
R,5,40.5,1020
R,5,40.5,1140
B,5,40.5,1020
B,4,40.5,940
B,5,40.5,860
B,3,40.5,840
B,4,40.7,980
R,4,41,NA
B,3,41,NA
B,5,41,NA
B,6,41,NA
R,4,41,920
B,5,41,980
B,3,41,1100
R,4,41,1300
B,3,41,1320
B,4,41,1000
B,4,41,1180
B,4,41,NA
R,4,41,1080
B,4,41,1100
R,4,41,700
B,3,41,1040
B,4,41,920
B,4,41.1,1040
B,5,41.2,960
B,4,41.3,1020
B,3,41.3,1100
B,5,41.3,920
B,4,41.5,NA
B,4,41.5,NA
B,4,41.5,NA
B,5,41.5,1020
B,4,41.5,890
B,5,41.5,930
B,3,41.5,1050
B,4,41.5,920
B,4,41.5,1320
B,5,41.5,720
R,4,41.5,1040
B,4,41.5,1060
B,4,41.5,980
B,4,41.5,1000
B,5,41.5,1000
R,4,41.5,1060
B,5,41.5,1080
B,5,41.5,1800
R,4,41.5,1800
R,5,41.7,1140
B,5,41.8,960
B,5,41.9,950
B,5,41.9,740
B,3,42,NA
B,4,42,NA
B,5,42,NA
B,5,42,1000
R,4,42,1180
B,5,42,1100
B,6,42,1260
B,5,42,800
B,3,42,940
B,5,42,1100
R,4,42,1220
R,4,42,1020
B,4,42,1660
B,4,42,880
B,3,42,900
B,4,42,1040
R,5,42,1040
R,5,42,1260
B,5,42.3,1060
B,3,42.5,NA
R,4,42.5,NA
B,4,42.5,1300
R,4,42.5,1270
B,4,42.5,1090
B,5,42.5,1140
R,5,42.5,1480
B,4,42.5,NA
B,4,42.5,960
B,4,42.5,1380
B,4,42.5,1140
B,4,42.5,940
B,4,42.5,940
B,4,42.5,960
R,4,42.5,1160
B,4,42.5,1000
B,4,42.5,820
B,4,42.5,900
B,5,42.7,980
B,5,42.8,1200
B,4,43,NA
B,5,43,NA
B,5,43,NA
B,5,43,NA
B,5,43,NA
B,3,43,1040
B,5,43,1570
B,4,43,1440
B,3,43,1900
B,5,43,NA
B,4,43,1100
B,4,43,1060
R,4,43,1140
B,3,43,1000
R,4,43,1320
B,4,43,1000
R,4,43,1200
R,5,43.1,1300
R,4,43.3,NA
R,6,43.3,1500
B,4,43.3,960
B,4,43.3,1020
B,4,43.4,920
B,5,43.5,NA
B,4,43.5,NA
R,5,43.5,1240
B,5,43.5,NA
R,4,43.5,NA
B,4,43.5,1160
B,3,43.5,1180
R,5,43.5,NA
B,3,43.5,1140
B,5,43.5,1020
R,4,43.5,1360
B,5,43.5,1240
B,5,43.5,1140
R,5,43.5,920
R,4,43.5,1400
B,6,43.5,NA
B,6,43.6,1060
R,4,43.8,NA
B,5,43.8,1180
B,4,43.9,NA
B,4,43.9,1160
B,4,44,NA
B,4,44,NA
B,5,44,NA
B,6,44,NA
B,5,44,NA
B,5,44,NA
B,6,44,1620
B,4,44,1230
B,5,44,1320
B,4,44,NA
R,4,44,NA
B,5,44,1240
R,4,44,1720
B,4,44,980
B,4,44,1180
R,4,44,1300
B,5,44,1180
R,4,44,1480
B,5,44,1140
B,4,44,1140
B,5,44,1420
R,5,44,1380
R,5,44.1,1260
R,4,44.2,1360
B,5,44.3,1160
R,5,44.4,1100
B,4,44.5,NA
B,5,44.5,NA
B,5,44.5,NA
R,5,44.5,1440
B,5,44.5,NA
B,6,44.5,1270
B,6,44.5,1270
R,4,44.5,1380
B,5,44.5,1180
R,4,44.5,1380
R,6,44.5,1380
B,4,44.5,1300
R,4,44.5,1400
R,4,44.5,1100
R,4,44.5,1100
R,4,44.5,1460
B,4,44.5,1060
B,5,44.6,NA
B,6,44.6,1120
R,4,45,NA
R,4,45,NA
R,5,45,NA
R,4,45,NA
B,4,45,NA
R,5,45,NA
B,5,45,NA
R,5,45,NA
R,6,45,NA
B,6,45,1440
B,6,45,1480
B,5,45,1280
B,6,45,1500
R,4,45,NA
R,4,45,1340
B,5,45,1260
R,5,45,900
B,5,45,1300
R,4,45,1240
B,5,45,1300
R,4,45,1240
B,5,45,1340
R,5,45,1420
R,5,45,1440
R,4,45,1280
B,3,45.1,1200
R,4,45.4,1300
B,6,45.5,1420
B,5,45.5,1540
B,6,45.5,NA
B,5,45.5,1270
B,6,45.5,NA
B,4,45.5,1300
R,4,45.5,1280
R,6,45.5,1600
R,5,45.5,1660
R,4,45.5,1500
R,5,45.5,1360
R,4,45.5,1660
R,5,45.5,1400
R,5,45.5,1840
R,4,45.6,1300
R,4,45.8,1240
R,4,45.9,1400
R,5,46,NA
R,5,46,NA
R,5,46,NA
R,5,46,NA
B,5,46,NA
B,5,46,NA
R,5,46,NA
R,4,46,NA
R,5,46,NA
R,4,46,NA
R,4,46,NA
R,5,46,NA
R,6,46,NA
R,5,46,1640
B,6,46,1250
R,5,46,1540
B,6,46,1380
R,5,46,NA
B,5,46,1280
B,5,46,1560
B,5,46,1380
B,5,46,1180
R,6,46,1480
B,6,46,1380
R,5,46,1540
B,5,46,1460
R,5,46,1620
R,5,46,1480
R,5,46,1360
R,6,46,1480
B,5,46,1160
B,3,46,1320
R,4,46,1340
R,4,46,1460
R,4,46.1,1400
R,6,46.3,NA
R,4,46.3,1680
R,4,46.5,NA
R,4,46.5,NA
R,5,46.5,NA
R,5,46.5,NA
R,4,46.5,NA
R,4,46.5,1640
R,5,46.5,NA
R,6,46.5,2160
R,5,46.5,1250
R,5,46.5,1420
R,5,46.5,1200
R,6,46.5,1520
B,5,46.5,1520
R,4,46.5,1620
R,5,46.5,1540
R,5,46.8,NA
R,5,47,NA
R,5,47,NA
R,6,47,NA
R,6,47,NA
R,6,47,NA
R,5,47,NA
R,5,47,NA
R,6,47,NA
R,6,47,1870
B,5,47,1640
R,4,47,2110
R,5,47,880
R,6,47,NA
R,6,47,1540
R,5,47,1720
R,5,47,1200
R,5,47,1560
R,5,47,1620
R,5,47,1360
B,4,47,NA
R,6,47,1480
B,6,47,1460
R,6,47,1440
R,6,47,1620
R,4,47,1420
R,5,47,1600
R,4,47,1360
R,4,47.2,1420
R,4,47.3,1830
R,5,47.5,NA
R,5,47.5,NA
B,6,47.5,NA
R,6,47.5,NA
R,5,47.5,NA
R,5,47.5,NA
R,5,47.5,1680
R,5,47.5,1520
R,4,47.5,1360
R,5,47.5,1820
R,6,47.5,1560
R,5,47.5,1680
R,6,47.5,1520
R,4,47.5,1600
R,4,47.6,NA
R,5,47.6,1720
R,4,47.7,NA
R,4,47.8,1680
R,5,48,NA
R,6,48,NA
R,5,48,NA
R,5,48,NA
R,6,48,NA
B,7,48,NA
R,6,48,NA
R,5,48,1840
R,4,48,1960
R,5,48,1750
R,4,48,NA
R,6,48,NA
R,4,48,1660
R,6,48,1760
R,6,48,1760
R,6,48,1580
R,5,48,1080
R,6,48,1640
R,5,48,1680
R,5,48.3,NA
R,4,48.3,NA
R,4,48.3,NA
R,4,48.3,1700
R,5,48.5,NA
R,6,48.5,NA
R,5,48.5,NA
R,6,48.5,NA
R,5,48.5,NA
R,5,48.5,NA
R,5,48.5,NA
R,5,48.5,NA
R,5,48.5,1820
R,4,48.5,1780
R,4,48.5,NA
R,5,48.5,1760
R,5,48.5,1940
R,5,48.5,1800
R,5,48.5,1500
R,5,48.5,1800
R,4,48.5,1620
R,6,48.8,NA
R,5,48.9,NA
R,5,49,NA
R,7,49,NA
R,5,49,NA
R,5,49,NA
R,5,49,NA
R,6,49,1880
R,5,49,NA
R,4,49,NA
R,4,49,NA
R,5,49,1680
R,5,49,1920
R,5,49,1940
R,5,49,1840
R,5,49,1820
R,4,49,1680
R,4,49,1740
R,5,49,1780
R,6,49.5,NA
R,4,49.5,NA
R,5,49.5,1880
R,4,49.5,1520
R,5,50,NA
R,6,50,NA
R,5,50,NA
R,5,50,NA
R,5,50,2000
R,6,50.5,NA
R,5,50.5,3280
R,5,50.5,NA
R,5,50.5,1720
R,5,50.5,1880
R,6,50.5,2040
R,6,50.8,1620
R,6,51,NA
R,4,51,NA
R,5,51,1780
R,6,51,1980
R,6,51,1090
R,6,51.3,NA
R,6,51.5,NA
R,5,51.7,NA
R,6,51.8,NA
R,5,52,NA
R,6,52.5,1860
R,6,54,NA
R,6,54,2270
B,4,33,480
B,4,33,560
B,4,33.5,600
B,4,34,660
B,4,34,520
B,4,34,480
B,4,34,580
B,4,35,600
B,4,35,660
B,4,35,NA
B,4,35,620
B,4,35.5,700
B,4,35.5,680
B,3,35.5,600
B,4,36,580
B,5,36,640
B,3,36,580
B,4,36.5,640
B,5,36.5,760
B,3,36.5,680
B,4,36.5,640
B,4,37,760
B,4,37,840
B,4,37,680
R,4,37,1000
B,4,37,800
B,4,37,780
B,4,37,720
B,4,37,780
B,4,37,1120
R,6,37,780
B,3,37,700
B,4,37,680
B,4,37,600
B,4,37,720
B,4,37.5,820
B,4,37.5,800
B,4,37.5,800
B,4,37.5,720
B,4,37.5,820
B,4,37.5,760
B,5,37.5,840
B,4,37.5,680
B,4,37.5,900
B,4,37.5,800
B,4,37.8,700
B,4,37.9,760
B,5,38,900
B,4,38,900
B,4,38,920
B,4,38,720
B,5,38,780
B,3,38,740
B,5,38,760
B,5,38,640
B,5,38,840
B,4,38,680
B,5,38.5,840
B,4,38.5,980
B,4,38.5,800
B,3,38.5,840
B,5,38.5,780
B,4,38.5,840
B,5,38.5,900
B,5,38.5,780
B,4,38.5,900
B,4,38.5,880
B,5,39,900
B,4,39,720
B,4,39,920
B,4,39,860
B,4,39,880
B,4,39,900
B,4,39,820
B,4,39,820
B,4,39,780
B,5,39,900
B,4,39,800
B,5,39,960
B,5,39,840
B,4,39,840
B,5,39,880
B,5,39,980
B,4,39,780
B,4,39,860
B,6,39,880
B,4,39,920
B,4,39,800
B,4,39,840
R,4,39,1120
B,4,39.5,920
B,5,39.5,960
B,5,39.5,1020
B,5,39.5,880
B,5,39.5,800
B,4,39.5,800
B,4,39.5,880
B,5,39.5,900
B,4,39.5,860
B,3,39.5,900
B,4,39.5,980
B,5,39.5,1340
B,5,39.5,1020
B,4,39.5,740
B,5,39.5,860
B,4,39.5,860
B,4,39.5,900
B,4,39.5,880
R,4,39.5,980
B,5,39.5,840
B,5,39.5,1000
B,5,39.5,1020
B,4,39.5,880
B,4,39.5,1060
B,4,39.5,840
B,4,39.5,900
B,4,39.5,940
B,4,39.5,920
B,5,39.5,920
B,3,39.5,940
B,4,40,900
B,4,40,920
B,4,40,940
B,5,40,940
B,5,40,1020
B,5,40,880
B,4,40,960
B,4,40,NA
B,4,40,860
B,6,40,920
B,4,40,1000
B,4,40,980
B,5,40,940
B,3,40,760
B,4,40,820
B,5,40,860
B,5,40,980
B,4,40,820
B,4,40,920
B,4,40,900
B,5,40,1100
B,5,40,980
B,4,40,840
B,4,40,880
B,5,40,980
B,5,40,940
B,5,40,880
R,5,40,2200
B,4,40,880
B,5,40,880
B,4,40,920
B,5,40,960
B,5,40,1000
B,5,40,920
B,5,40,1000
B,5,40,940
B,5,40,1000
R,5,40,980
B,5,40,860
B,6,40,860
B,4,40,0
B,4,40,860
B,4,40,860
B,4,40.2,940
B,5,40.2,900
B,4,40.5,1040
B,4,40.5,900
B,5,40.5,940
B,5,40.5,1040
B,5,40.5,1060
B,5,40.5,880
R,4,40.5,1300
B,4,40.5,860
B,4,40.5,900
B,4,40.5,1000
B,5,40.5,940
R,4,40.5,960
B,5,40.5,980
B,4,40.5,840
B,4,40.5,860
B,4,40.5,940
B,4,40.5,1060
B,4,40.5,820
B,5,40.5,880
B,4,40.5,980
B,4,40.5,1060
R,4,40.5,1060
B,3,40.5,980
B,5,40.5,880
B,4,40.5,1000
B,5,40.5,1100
B,5,40.5,1200
B,5,40.5,980
B,4,40.5,880
B,5,40.5,940
B,5,40.5,880
B,4,40.5,920
B,4,40.5,960
B,5,40.5,920
B,5,40.5,980
B,4,40.5,1880
B,5,40.5,920
B,5,40.5,1000
B,6,40.5,880
B,5,40.5,940
B,5,40.5,940
B,5,40.5,960
B,4,40.5,920
R,5,40.5,860
B,4,40.5,940
B,5,40.5,900
B,4,40.5,860
R,4,40.5,1060
B,5,41,980
B,5,41,1020
B,5,41,1180
B,5,41,1040
B,5,41,940
B,5,41,960
B,4,41,980
B,4,41,900
B,5,41,960
B,4,41,1040
B,6,41,1080
B,4,41,900
B,4,41,1020
B,4,41,1040
B,4,41,1000
B,4,41,1020
B,4,41,1080
B,4,41,940
B,4,41,980
R,6,41,1100
B,5,41,1100
B,5,41,980
B,6,41,980
B,4,41,940
B,4,41,1040
B,4,41,840
B,4,41,940
B,4,41,1020
B,4,41,1060
R,5,41,NA
B,4,41,880
B,5,41,960
B,5,41,1000
B,5,41,960
B,4,41,1020
B,4,41,1100
B,4,41,1000
B,4,41,1040
B,6,41,1040
B,6,41,1120
B,5,41,940
R,5,41,940
B,5,41,1000
B,4,41,1000
B,5,41,1040
B,6,41,1020
B,5,41,860
B,4,41,920
R,4,41,1320
B,5,41,1000
B,6,41,1000
B,4,41,1160
B,4,41,1060
B,5,41,960
B,5,41,1020
B,3,41,980
B,5,41,980
B,5,41,1020
B,5,41,1100
B,5,41,1680
B,5,41.5,1040
B,4,41.5,960
B,5,41.5,1060
B,5,41.5,880
B,5,41.5,940
B,5,41.5,940
B,4,41.5,980
B,6,41.5,980
B,5,41.5,1180
B,6,41.5,1100
B,5,41.5,NA
B,5,41.5,NA
B,4,41.5,900
B,4,41.5,900
B,4,41.5,1120
B,5,41.5,1200
B,5,41.5,880
B,5,41.5,960
B,5,41.5,1160
B,4,41.5,1100
B,4,41.5,1000
B,5,41.5,1060
B,4,41.5,980
B,5,41.5,980
B,4,41.5,1020
B,5,41.5,1040
R,4,41.5,1240
B,4,41.5,1000
B,4,41.5,1040
B,5,41.5,1040
B,3,41.5,1060
B,5,41.5,1100
B,5,41.5,1080
B,5,41.5,1100
B,6,41.5,980
B,5,41.5,1000
B,6,41.5,1000
B,6,41.5,1060
B,5,41.5,1100
B,4,41.5,1140
B,5,41.5,1060
B,5,41.5,1100
B,5,41.5,1060
B,5,41.5,0
B,5,41.5,860
B,5,41.5,980
B,6,41.5,980
B,5,41.5,1040
B,5,41.5,940
B,5,41.5,980
B,4,41.5,960
B,5,41.5,1000
B,6,41.5,1140
B,5,41.5,1140
R,4,41.5,1180
B,5,41.5,0
B,4,41.5,1120
R,5,41.5,1010
R,5,41.5,1060
R,5,41.5,1060
B,5,41.5,1000
R,5,41.5,1280
B,4,41.8,1020
B,5,42,1080
B,4,42,1040
B,5,42,1100
B,6,42,1040
B,4,42,1080
B,5,42,1120
B,5,42,1040
R,5,42,1280
B,5,42,1180
B,6,42,1020
B,4,42,1060
B,4,42,1120
R,5,42,1280
R,4,42,1180
B,5,42,1000
B,6,42,1140
B,4,42,1040
B,5,42,1060
B,5,42,1440
B,4,42,1080
B,4,42,1140
B,4,42,1140
B,4,42,960
B,4,42,1000
B,5,42,1060
B,4,42,960
B,4,42,920
B,4,42,1060
B,4,42,1120
B,5,42,940
R,5,42,1180
B,5,42,1000
B,5,42,1100
R,5,42,1220
B,5,42,1240
B,4,42,920
B,5,42,1120
B,4,42,1020
R,5,42,1220
B,5,42,1080
R,4,42,1240
B,4,42,1020
B,5,42,880
R,4,42,1220
R,4,42,1320
B,6,42,1060
R,5,42,1280
B,5,42,1020
B,5,42,1060
R,4,42,1180
B,5,42,860
B,6,42,920
B,5,42,900
B,4,42,1120
B,5,42,1120
B,6,42,980
B,6,42.5,1140
B,6,42.5,1280
B,4,42.5,1060
B,6,42.5,1260
R,5,42.5,1280
B,5,42.5,1280
B,6,42.5,1120
B,5,42.5,960
B,4,42.5,1140
B,5,42.5,NA
B,6,42.5,1040
B,5,42.5,1220
B,5,42.5,1040
B,4,42.5,1180
B,4,42.5,1040
B,4,42.5,980
B,5,42.5,1060
B,4,42.5,1100
B,4,42.5,1060
B,5,42.5,NA
R,4,42.5,NA
B,6,42.5,1020
B,6,42.5,1160
R,5,42.5,1180
B,4,42.5,1120
B,5,42.5,1160
B,4,42.5,1180
B,5,42.5,1060
B,5,42.5,1240
B,5,42.5,1140
R,5,42.5,1220
B,6,42.5,1000
B,5,42.5,1160
B,5,42.5,1220
B,6,42.5,960
B,5,42.5,1080
B,5,42.5,1020
B,5,42.5,1080
R,4,42.5,1340
R,5,42.5,1260
R,4,42.5,1060
R,5,42.5,1260
